index,publishedAt,sentiment,type
0,2017-12-13T00:44:00Z,0.4767,news
1,2017-12-13T12:00:00Z,-0.3182,news
2,2017-12-13T12:31:17Z,0,news
3,2017-12-13T19:35:00Z,-0.7783,news
4,2017-12-13T14:04:44Z,0.0516,news
5,2017-12-13T03:25:53Z,0.1531,news
6,2017-12-13T15:33:41Z,-0.1027,news
7,2017-12-13T03:06:44Z,-0.9509,news
8,2017-12-13T10:14:02Z,0.7096,news
9,2017-12-13T22:58:40Z,0,news
10,2017-12-13T14:56:30Z,-0.6486,news
11,2017-12-13T20:59:33Z,0,news
12,2017-12-13T01:45:10Z,0.8934,news
13,2017-12-13T16:46:33Z,0.9062,news
14,2017-12-13T05:24:19Z,0.1496,news
15,2017-12-13T17:00:00Z,-0.5574,news
16,2017-12-13T18:02:46Z,0.4019,news
17,2017-12-13T04:11:38Z,0.7819,news
18,2017-12-13T12:01:24Z,0.5267,news
19,2017-12-13T18:16:14Z,-0.5616,news
0,2017-12-14T11:20:00Z,0.2481,news
1,2017-12-14T13:22:00Z,0.4939,news
2,2017-12-15T00:00:00Z,-0.8074,news
3,2017-12-14T13:15:50Z,-0.3182,news
4,2017-12-14T00:52:35Z,0.0679,news
5,2017-12-14T23:55:23Z,-0.1779,news
6,2017-12-14T19:37:57Z,-0.3818,news
7,2017-12-14T22:33:15Z,-0.4588,news
8,2017-12-14T01:08:30Z,-0.9201,news
9,2017-12-14T16:00:29Z,0.7778,news
10,2017-12-14T18:58:27Z,-0.3956,news
11,2017-12-14T23:37:42Z,0.6369,news
12,2017-12-14T21:31:55Z,-0.8735,news
13,2017-12-14T10:47:06Z,0.6801,news
14,2017-12-14T23:31:29Z,0.3818,news
15,2017-12-14T10:45:20Z,0.4939,news
16,2017-12-14T01:45:58Z,-0.6597,news
17,2017-12-14T10:28:43Z,-0.5267,news
18,2017-12-14T10:00:31Z,0.4404,news
19,2017-12-14T20:50:07Z,-0.765,news
0,2017-12-15T15:00:00Z,-0.1779,news
1,2017-12-15T16:00:00Z,-0.6486,news
2,2017-12-15T20:05:18Z,0.8126,news
3,2017-12-15T15:55:00Z,0.4549,news
4,2017-12-15T20:10:00Z,0.8268,news
5,2017-12-15T15:13:00Z,0.7906,news
6,2017-12-15T00:00:00Z,-0.8074,news
7,2017-12-15T19:59:00Z,0.8225,news
8,2017-12-15T15:14:35Z,-0.7717,news
9,2017-12-15T17:57:34Z,0.296,news
10,2017-12-15T10:45:19Z,0.836,news
11,2017-12-15T21:37:49Z,-0.099,news
12,2017-12-15T14:17:51Z,-0.3818,news
13,2017-12-15T10:45:15Z,-0.1779,news
14,2017-12-15T02:16:31Z,-0.8555,news
15,2017-12-15T23:09:36Z,0.4019,news
16,2017-12-15T10:34:18Z,-0.25,news
17,2017-12-15T15:17:01Z,0.91,news
18,2017-12-15T02:52:19Z,-0.2732,news
19,2017-12-15T10:02:26Z,0,news
0,2017-12-16T22:06:00Z,-0.3641,news
1,2017-12-16T01:06:23Z,0.5267,news
2,2017-12-16T16:52:45Z,0.0258,news
3,2017-12-16T17:06:03Z,0.7096,news
4,2017-12-16T00:45:55Z,0.3382,news
5,2017-12-16T02:46:10Z,-0.7003,news
6,2017-12-16T17:00:00Z,-0.7264,news
7,2017-12-16T15:00:00Z,0.4076,news
8,2017-12-16T19:30:01Z,-0.5256,news
9,2017-12-16T01:13:52Z,0.6249,news
10,2017-12-16T17:58:07Z,0.8519,news
11,2017-12-16T17:11:12Z,-0.6369,news
12,2017-12-16T22:12:35Z,0.4019,news
13,2017-12-16T21:42:36Z,0.7506,news
14,2017-12-16T19:32:55Z,0.9136,news
15,2017-12-16T19:06:31Z,0.5423,news
16,2017-12-16T03:29:36Z,-0.8402,news
17,2017-12-16T14:00:03Z,-0.399,news
18,2017-12-16T18:00:00Z,-0.6801,news
19,2017-12-16T21:41:13Z,-0.3506,news
0,2017-12-17T20:30:00Z,0,news
1,2017-12-17T11:00:40Z,0.2023,news
2,2017-12-17T09:07:24Z,0.128,news
3,2017-12-17T17:29:26Z,-0.2263,news
4,2017-12-17T17:30:00Z,-0.5192,news
5,2017-12-17T11:47:41Z,0.7665,news
6,2017-12-17T22:06:19Z,-0.886,news
7,2017-12-17T19:31:21Z,0,news
8,2017-12-17T16:49:45Z,-0.9022,news
9,2017-12-17T14:41:07Z,-0.1098,news
10,2017-12-17T07:34:54Z,-0.7717,news
11,2017-12-17T22:52:55Z,0.4767,news
12,2017-12-17T22:44:30Z,0.8162,news
13,2017-12-17T18:38:19Z,0.5423,news
14,2017-12-17T21:21:16Z,0.6486,news
15,2017-12-17T12:51:10Z,0.5267,news
16,2017-12-17T15:13:25Z,0.6336,news
17,2017-12-17T17:02:25Z,0.3818,news
18,2017-12-17T07:53:12Z,-0.7003,news
19,2017-12-17T07:46:00Z,-0.8555,news
0,2017-12-18T22:16:00Z,-0.4588,news
1,2017-12-18T19:51:00Z,-0.8749,news
2,2017-12-18T19:23:00Z,0,news
3,2017-12-18T20:50:00Z,-0.7845,news
4,2017-12-18T22:55:00Z,0.7351,news
5,2017-12-18T10:45:14Z,-0.4767,news
6,2017-12-18T21:46:28Z,0,news
7,2017-12-18T10:45:13Z,0,news
8,2017-12-18T05:04:43Z,0,news
9,2017-12-18T01:16:06Z,-0.1531,news
10,2017-12-18T10:47:47Z,-0.6705,news
11,2017-12-18T20:44:06Z,0.0918,news
12,2017-12-18T15:26:45Z,-0.4588,news
13,2017-12-18T21:08:53Z,0.8402,news
14,2017-12-18T19:35:26Z,0.7579,news
15,2017-12-18T00:58:50Z,0,news
16,2017-12-18T23:19:26Z,0,news
17,2017-12-18T11:03:33Z,0.5994,news
18,2017-12-18T10:00:14Z,-0.4767,news
19,2017-12-18T10:54:49Z,-0.2732,news
0,2017-12-19T14:30:00Z,-0.0671,news
1,2017-12-19T04:57:00Z,0.0772,news
2,2017-12-19T19:33:56Z,-0.3182,news
3,2017-12-19T20:10:53Z,-0.128,news
4,2017-12-19T14:31:59Z,0.5859,news
5,2017-12-19T16:51:40Z,0.7579,news
6,2017-12-19T17:15:00Z,0.5267,news
7,2017-12-19T18:45:00Z,0.4215,news
8,2017-12-19T04:30:00Z,-0.8591,news
9,2017-12-19T00:45:00Z,-0.8555,news
10,2017-12-19T01:55:00Z,-0.5267,news
11,2017-12-19T00:19:18Z,-0.4019,news
12,2017-12-19T16:58:18Z,0.1027,news
13,2017-12-19T02:51:03Z,0,news
14,2017-12-19T22:11:22Z,-0.7003,news
15,2017-12-19T20:07:10Z,-0.2263,news
16,2017-12-19T22:00:53Z,0.8873,news
17,2017-12-19T11:58:08Z,0.5574,news
18,2017-12-19T14:09:27Z,-0.5719,news
19,2017-12-19T19:24:21Z,0.6486,news
0,2017-12-20T17:30:00Z,0.5521,news
1,2017-12-20T21:00:00Z,0.9153,news
2,2017-12-20T13:01:00Z,-0.6124,news
3,2017-12-20T03:30:00Z,-0.4767,news
4,2017-12-20T21:30:00Z,-0.5965,news
5,2017-12-20T22:25:00Z,-0.4588,news
6,2017-12-20T20:10:00Z,0.4404,news
7,2017-12-20T19:33:57Z,-0.5859,news
8,2017-12-20T11:17:35Z,-0.3535,news
9,2017-12-20T23:10:28Z,0.4019,news
10,2017-12-20T10:00:20Z,0.4019,news
11,2017-12-20T18:23:05Z,-0.5719,news
12,2017-12-20T20:02:24Z,0.4019,news
13,2017-12-20T02:05:50Z,-0.8316,news
14,2017-12-20T18:00:24Z,0.8225,news
15,2017-12-20T17:18:15Z,-0.8591,news
16,2017-12-20T21:55:13Z,0.8147,news
17,2017-12-20T01:00:26Z,0.9118,news
18,2017-12-20T10:28:59Z,0.6369,news
19,2017-12-20T01:09:16Z,0.7783,news
0,2017-12-21T11:00:00Z,0.8975,news
1,2017-12-21T13:00:00Z,-0.126,news
2,2017-12-21T13:00:00Z,0.4588,news
3,2017-12-21T19:10:00Z,-0.93,news
4,2017-12-21T05:51:40Z,0.7003,news
5,2017-12-21T21:18:27Z,0.3804,news
6,2017-12-21T15:52:53Z,-0.4767,news
7,2017-12-21T19:29:22Z,-0.6808,news
8,2017-12-21T00:08:13Z,0.128,news
9,2017-12-21T20:12:34Z,0.5859,news
10,2017-12-21T15:29:12Z,0.9062,news
11,2017-12-21T04:27:14Z,0.3818,news
12,2017-12-21T18:07:54Z,0.9823,news
13,2017-12-21T16:36:24Z,0.3804,news
14,2017-12-21T10:28:44Z,0,news
15,2017-12-21T10:05:28Z,0.8478,news
16,2017-12-21T23:28:04Z,0,news
17,2017-12-21T13:57:12Z,-0.3612,news
18,2017-12-21T05:19:02Z,0,news
19,2017-12-21T11:00:27Z,0.926,news
0,2017-12-22T14:10:00Z,0.6801,news
1,2017-12-22T19:25:00Z,-0.3612,news
2,2017-12-22T21:45:00Z,-0.0588,news
3,2017-12-22T10:45:01Z,0,news
4,2017-12-22T10:45:14Z,-0.4019,news
5,2017-12-22T01:35:43Z,-0.2263,news
6,2017-12-22T15:57:55Z,-0.128,news
7,2017-12-22T11:03:43Z,0.1531,news
8,2017-12-22T10:45:15Z,0.4404,news
9,2017-12-22T14:07:44Z,0.4939,news
10,2017-12-22T20:01:55Z,-0.34,news
11,2017-12-22T14:35:46Z,0.8307,news
12,2017-12-22T21:41:47Z,0.93,news
13,2017-12-22T16:54:59Z,-0.9571,news
14,2017-12-22T16:08:55Z,-0.6996,news
15,2017-12-22T21:01:12Z,-0.765,news
16,2017-12-22T22:57:18Z,0,news
17,2017-12-22T01:36:56Z,-0.8271,news
18,2017-12-22T00:25:43Z,0.0644,news
19,2017-12-22T10:17:08Z,0.6369,news
0,2017-12-23T21:00:00Z,0.7351,news
1,2017-12-23T00:59:00Z,0.2263,news
2,2017-12-23T12:00:00Z,0,news
3,2017-12-23T14:00:00Z,0.6369,news
4,2017-12-23T16:06:43Z,0.5106,news
5,2017-12-23T00:15:08Z,0.5927,news
6,2017-12-23T13:54:30Z,0.5106,news
7,2017-12-23T22:24:33Z,-0.6696,news
8,2017-12-23T04:00:52Z,0.7845,news
9,2017-12-23T01:29:13Z,0.836,news
10,2017-12-23T23:40:27Z,0.0258,news
11,2017-12-23T00:56:22Z,-0.7184,news
12,2017-12-23T03:26:41Z,-0.7525,news
13,2017-12-23T00:30:21Z,-0.1531,news
14,2017-12-23T03:15:18Z,0.6369,news
15,2017-12-23T17:15:11Z,-0.6369,news
16,2017-12-23T13:58:00Z,-0.1531,news
17,2017-12-23T07:00:15Z,0.6124,news
18,2017-12-23T12:01:10Z,0.2006,news
19,2017-12-23T10:00:10Z,-0.743,news
0,2017-12-24T14:00:00Z,0.2023,news
1,2017-12-24T21:14:58Z,-0.4939,news
2,2017-12-24T21:02:25Z,-0.743,news
3,2017-12-24T15:00:00Z,0.5187,news
4,2017-12-24T11:00:30Z,0.2023,news
5,2017-12-24T15:00:19Z,0.9485,news
6,2017-12-24T15:01:55Z,0.8658,news
7,2017-12-24T04:19:31Z,-0.128,news
8,2017-12-24T22:33:25Z,0.6908,news
9,2017-12-24T18:11:05Z,-0.5106,news
10,2017-12-24T02:12:46Z,-0.4588,news
11,2017-12-24T00:01:36Z,0.5574,news
12,2017-12-24T10:01:13Z,-0.4767,news
13,2017-12-24T09:00:46Z,0.2458,news
14,2017-12-24T13:15:08Z,-0.6908,news
15,2017-12-24T17:17:00Z,-0.4939,news
16,2017-12-24T20:35:06Z,-0.7717,news
17,2017-12-24T23:51:47Z,0.2023,news
18,2017-12-24T14:31:11Z,-0.128,news
19,2017-12-24T22:41:45Z,-0.8316,news
0,2017-12-25T20:00:00Z,0.6249,news
1,2017-12-25T11:00:28Z,-0.6249,news
2,2017-12-25T16:11:45Z,-0.9545,news
3,2017-12-25T19:18:41Z,0,news
4,2017-12-25T15:56:12Z,0,news
5,2017-12-25T11:50:24Z,-0.3182,news
6,2017-12-25T23:55:29Z,-0.4019,news
7,2017-12-25T08:22:57Z,0.4404,news
8,2017-12-25T01:08:02Z,0.0772,news
9,2017-12-25T11:50:45Z,0.3612,news
10,2017-12-25T00:33:23Z,0,news
11,2017-12-25T13:01:46Z,0,news
12,2017-12-25T23:14:42Z,-0.296,news
13,2017-12-25T13:11:48Z,-0.4019,news
14,2017-12-25T16:59:27Z,-0.9136,news
15,2017-12-25T21:15:38Z,0.6597,news
16,2017-12-25T21:36:59Z,0.7269,news
17,2017-12-25T00:39:00Z,0.2263,news
18,2017-12-25T19:54:05Z,0.9577,news
19,2017-12-25T10:32:00Z,0.5423,news
0,2017-12-26T10:00:02Z,-0.6597,news
1,2017-12-26T00:33:07Z,-0.5574,news
2,2017-12-26T09:30:00Z,-0.796,news
3,2017-12-26T23:56:25Z,0.8271,news
4,2017-12-26T19:11:39Z,0,news
5,2017-12-26T19:52:42Z,0.8834,news
6,2017-12-26T23:46:29Z,0.3612,news
7,2017-12-26T22:29:48Z,0,news
8,2017-12-26T15:03:30Z,-0.6124,news
9,2017-12-26T06:48:28Z,0.296,news
10,2017-12-26T15:00:51Z,-0.0717,news
11,2017-12-26T07:00:42Z,0.5983,news
12,2017-12-26T17:30:00Z,-0.7219,news
13,2017-12-26T15:02:00Z,0.7351,news
14,2017-12-26T14:58:17Z,-0.1027,news
15,2017-12-26T11:00:11Z,0.6369,news
16,2017-12-26T14:59:57Z,-0.946,news
17,2017-12-26T16:00:00Z,0.3182,news
18,2017-12-26T17:18:00Z,0.631,news
19,2017-12-26T14:11:19Z,-0.7351,news
0,2017-12-27T15:00:00Z,0.7713,news
1,2017-12-27T15:00:00Z,0,news
2,2017-12-27T16:20:56Z,-0.5859,news
3,2017-12-27T00:50:00Z,-0.6369,news
4,2017-12-27T23:35:00Z,-0.8255,news
5,2017-12-27T18:20:00Z,-0.8176,news
6,2017-12-27T13:15:00Z,0.7717,news
7,2017-12-27T11:00:14Z,-0.1779,news
8,2017-12-27T15:52:33Z,-0.5423,news
9,2017-12-27T12:19:14Z,0.1027,news
10,2017-12-27T10:00:44Z,0,news
11,2017-12-27T23:18:23Z,0.4939,news
12,2017-12-27T18:33:36Z,0,news
13,2017-12-27T01:00:24Z,0.1779,news
14,2017-12-27T22:00:35Z,0.5175,news
15,2017-12-27T20:28:54Z,0.5719,news
16,2017-12-27T21:23:12Z,-0.5423,news
17,2017-12-27T10:45:05Z,0.6369,news
18,2017-12-27T15:21:14Z,0.009,news
19,2017-12-27T10:11:51Z,0.0772,news
0,2017-12-28T12:00:00Z,-0.7574,news
1,2017-12-28T15:00:01Z,-0.128,news
2,2017-12-28T22:22:34Z,0.2732,news
3,2017-12-28T16:33:18Z,0,news
4,2017-12-28T19:00:17Z,0,news
5,2017-12-28T23:33:46Z,-0.8011,news
6,2017-12-28T19:45:25Z,-0.0258,news
7,2017-12-28T21:26:32Z,-0.5499,news
8,2017-12-28T15:08:50Z,0.4939,news
9,2017-12-28T02:51:57Z,-0.204,news
10,2017-12-28T00:03:21Z,0.296,news
11,2017-12-28T05:19:49Z,0,news
12,2017-12-28T19:39:08Z,0.4927,news
13,2017-12-28T18:48:49Z,-0.7003,news
14,2017-12-28T00:35:12Z,0,news
15,2017-12-28T16:47:32Z,0,news
16,2017-12-28T14:06:45Z,-0.0516,news
17,2017-12-28T02:57:48Z,-0.7717,news
18,2017-12-28T00:01:31Z,0.0772,news
19,2017-12-28T06:00:38Z,0.0258,news
0,2017-12-29T15:00:00Z,-0.1027,news
1,2017-12-29T21:20:00Z,-0.296,news
2,2017-12-29T22:45:00Z,-0.1027,news
3,2017-12-29T01:53:55Z,-0.4048,news
4,2017-12-29T02:08:34Z,-0.2263,news
5,2017-12-29T05:14:21Z,0,news
6,2017-12-29T10:46:13Z,0.5994,news
7,2017-12-29T04:41:53Z,0.7096,news
8,2017-12-29T01:38:44Z,-0.8591,news
9,2017-12-29T00:48:10Z,-0.5267,news
10,2017-12-29T10:00:26Z,0,news
11,2017-12-29T05:00:17Z,0.9274,news
12,2017-12-29T18:50:41Z,0.4091,news
13,2017-12-29T05:21:24Z,0.4404,news
14,2017-12-29T22:55:56Z,-0.1779,news
15,2017-12-29T01:12:47Z,-0.743,news
16,2017-12-29T22:26:29Z,0.7964,news
17,2017-12-29T09:30:00Z,0.6705,news
18,2017-12-29T19:32:13Z,0.9313,news
19,2017-12-29T18:18:27Z,-0.296,news
0,2017-12-30T18:00:00Z,0.5606,news
1,2017-12-30T12:00:00Z,-0.7964,news
2,2017-12-30T00:31:53Z,-0.2023,news
3,2017-12-30T17:46:08Z,-0.946,news
4,2017-12-30T17:04:29Z,0.8622,news
5,2017-12-30T16:32:27Z,0,news
6,2017-12-30T16:00:32Z,0.4767,news
7,2017-12-30T17:09:33Z,0.3182,news
8,2017-12-30T11:37:37Z,0.296,news
9,2017-12-30T19:39:59Z,-0.7184,news
10,2017-12-30T20:04:42Z,-0.2023,news
11,2017-12-30T01:45:42Z,-0.1431,news
12,2017-12-30T13:00:01Z,-0.9201,news
13,2017-12-30T19:35:53Z,0.0772,news
14,2017-12-30T01:26:53Z,-0.2263,news
15,2017-12-30T01:56:40Z,0.5719,news
16,2017-12-30T17:06:00Z,0.926,news
17,2017-12-30T15:50:15Z,-0.8885,news
18,2017-12-30T06:43:36Z,-0.6486,news
19,2017-12-30T13:00:12Z,0.5984,news
0,2017-12-31T12:00:00Z,-0.9062,news
1,2017-12-31T11:00:27Z,0.2023,news
2,2017-12-31T18:57:18Z,0.25,news
3,2017-12-31T21:24:53Z,0.3384,news
4,2017-12-31T14:28:30Z,0.3612,news
5,2017-12-31T00:04:35Z,0,news
6,2017-12-31T15:59:59Z,-0.25,news
7,2017-12-31T23:41:24Z,0,news
8,2017-12-31T17:35:28Z,0,news
9,2017-12-31T10:29:30Z,-0.4939,news
10,2017-12-31T07:25:56Z,-0.7184,news
11,2017-12-31T21:42:36Z,0.8225,news
12,2017-12-31T00:02:15Z,-0.296,news
13,2017-12-31T18:29:47Z,0.2123,news
14,2017-12-31T00:01:15Z,-0.6908,news
15,2017-12-31T16:05:40Z,-0.5187,news
16,2017-12-31T20:46:23Z,-0.296,news
17,2017-12-31T23:33:31Z,0.9524,news
18,2017-12-31T19:33:00Z,-0.5267,news
19,2017-12-31T22:07:30Z,-0.9313,news
0,2018-01-01T03:19:32Z,0,news
1,2018-01-01T19:04:56Z,0,news
2,2018-01-01T22:36:33Z,-0.8271,news
3,2018-01-01T04:09:09Z,0.0258,news
4,2018-01-01T10:03:36Z,-0.8154,news
5,2018-01-01T14:52:07Z,0.1531,news
6,2018-01-01T12:47:28Z,-0.1444,news
7,2018-01-01T19:30:00Z,-0.4019,news
8,2018-01-01T11:05:08Z,-0.1336,news
9,2018-01-01T18:29:52Z,-0.6369,news
10,2018-01-01T10:52:30Z,-0.9769,news
11,2018-01-01T17:00:01Z,-0.9231,news
12,2018-01-01T18:00:05Z,-0.2732,news
13,2018-01-01T11:23:16Z,-0.5994,news
14,2018-01-01T18:25:56Z,0.802,news
15,2018-01-01T02:13:42Z,-0.25,news
16,2018-01-01T05:00:00Z,-0.5267,news
17,2018-01-01T12:22:00Z,-0.8339,news
18,2018-01-01T21:19:04Z,0.3818,news
19,2018-01-01T08:48:18Z,0.5267,news
0,2018-01-02T17:33:00Z,-0.3818,news
1,2018-01-02T21:02:40Z,-0.5574,news
2,2018-01-02T23:15:12Z,0,news
3,2018-01-02T10:38:14Z,-0.0516,news
4,2018-01-02T17:04:08Z,0.9719,news
5,2018-01-02T19:42:02Z,0.4939,news
6,2018-01-02T18:50:44Z,-0.9638,news
7,2018-01-02T04:53:31Z,-0.886,news
8,2018-01-02T14:15:20Z,-0.2732,news
9,2018-01-02T19:08:40Z,0,news
10,2018-01-02T01:03:31Z,0.1027,news
11,2018-01-02T21:42:04Z,-0.8074,news
12,2018-01-02T20:13:56Z,0.0258,news
13,2018-01-02T11:08:24Z,0.6369,news
14,2018-01-02T13:00:44Z,0.765,news
15,2018-01-02T22:54:09Z,-0.25,news
16,2018-01-02T07:48:36Z,-0.886,news
17,2018-01-02T06:44:04Z,-0.7351,news
18,2018-01-02T06:51:12Z,-0.34,news
19,2018-01-02T06:00:20Z,0.4939,news
0,2018-01-03T16:59:04Z,-0.7096,news
1,2018-01-03T07:06:32Z,-0.296,news
2,2018-01-03T22:40:00Z,0.5994,news
3,2018-01-03T16:50:00Z,0.4019,news
4,2018-01-03T03:30:00Z,0,news
5,2018-01-03T01:45:00Z,-0.8271,news
6,2018-01-03T20:45:00Z,-0.2263,news
7,2018-01-03T22:53:00Z,0,news
8,2018-01-03T16:15:00Z,0.6808,news
9,2018-01-03T19:05:00Z,-0.0516,news
10,2018-01-03T05:27:18Z,0,news
11,2018-01-03T01:46:18Z,-0.5267,news
12,2018-01-03T10:00:03Z,-0.6705,news
13,2018-01-03T20:39:11Z,0.1335,news
14,2018-01-03T02:29:16Z,-0.1796,news
15,2018-01-03T02:04:02Z,0.6705,news
16,2018-01-03T11:00:15Z,0.6124,news
17,2018-01-03T23:13:32Z,0,news
18,2018-01-03T13:45:36Z,-0.0258,news
19,2018-01-03T10:47:24Z,0.128,news
0,2018-01-04T22:00:00Z,-0.3612,news
1,2018-01-04T17:06:00Z,-0.5574,news
2,2018-01-04T21:38:36Z,0.5574,news
3,2018-01-04T00:45:00Z,-0.8225,news
4,2018-01-04T14:36:00Z,-0.4215,news
5,2018-01-04T19:55:00Z,-0.0516,news
6,2018-01-04T16:00:00Z,0.4939,news
7,2018-01-04T20:25:00Z,0.5267,news
8,2018-01-04T00:20:30Z,0,news
9,2018-01-04T00:44:24Z,0.0516,news
10,2018-01-04T16:19:09Z,-0.7184,news
11,2018-01-04T23:55:19Z,-0.2732,news
12,2018-01-04T15:10:49Z,-0.8748,news
13,2018-01-04T00:21:33Z,-0.0516,news
14,2018-01-04T05:19:15Z,0,news
15,2018-01-04T13:52:38Z,0.0772,news
16,2018-01-04T17:00:16Z,-0.9682,news
17,2018-01-04T07:40:23Z,0.0258,news
18,2018-01-04T05:00:25Z,-0.2023,news
19,2018-01-04T15:16:57Z,-0.1583,news
0,2018-01-05T14:30:00Z,-0.6943,news
1,2018-01-05T21:16:55Z,-0.5719,news
2,2018-01-05T19:40:38Z,-0.5859,news
3,2018-01-05T22:06:21Z,-0.936,news
4,2018-01-05T07:35:31Z,0.5574,news
5,2018-01-05T21:45:00Z,-0.5994,news
6,2018-01-05T19:35:00Z,-0.836,news
7,2018-01-05T06:35:32Z,-0.4404,news
8,2018-01-05T17:51:14Z,0.5574,news
9,2018-01-05T18:27:17Z,0.1027,news
10,2018-01-05T17:15:05Z,-0.891,news
11,2018-01-05T18:24:57Z,0.6124,news
12,2018-01-05T07:28:04Z,0,news
13,2018-01-05T10:56:46Z,-0.4404,news
14,2018-01-05T20:58:42Z,-0.8553,news
15,2018-01-05T22:55:09Z,-0.4215,news
16,2018-01-05T14:35:00Z,-0.8311,news
