index,date,volume
0,12/13/17,8404
1,12/14/17,6459
2,12/15/17,6046
3,12/16/17,3066
4,12/17/17,3308
5,12/18/17,5948
6,12/19/17,6479
7,12/20/17,6205
8,12/21/17,6273
9,12/22/17,5974
10,12/23/17,2848
11,12/24/17,2569
12,12/25/17,2463
13,12/26/17,3275
14,12/27/17,4595
15,12/28/17,4187
16,12/29/17,5107
17,12/30/17,3131
18,12/31/17,2949
19,1/1/18,3072
20,1/2/18,5525
21,1/3/18,7776
22,1/4/18,8339
23,1/5/18,7722
24,1/6/18,4286
25,1/7/18,3459
26,1/8/18,7018
27,1/9/18,7859
28,1/10/18,7704
29,1/11/18,7337
30,1/12/18,9317
31,1/13/18,4257
32,1/14/18,3768
33,1/15/18,5097
34,1/16/18,6873
35,1/17/18,7292
36,1/18/18,7704
37,1/19/18,7286
38,1/20/18,5104
39,1/21/18,4074
40,1/22/18,6790
41,1/23/18,7560
42,1/24/18,6944
43,1/25/18,8024
44,1/26/18,8558
45,1/27/18,3156
46,1/28/18,3461
47,1/29/18,6728
48,1/30/18,7406
49,1/31/18,9781
50,2/1/18,6224
51,2/2/18,6360
52,2/3/18,2979
53,2/4/18,2978
54,2/5/18,5075
55,2/6/18,5849
56,2/7/18,6015
57,2/8/18,5414
58,2/9/18,5590
59,2/10/18,3251
60,2/11/18,2555
61,2/12/18,5851
62,2/13/18,5786
63,2/14/18,6064
64,2/15/18,6212
65,2/16/18,6344
66,2/17/18,3633
67,2/18/18,3268
68,2/19/18,4422
69,2/20/18,5474
70,2/21/18,5831
71,2/22/18,6713
72,2/23/18,6960
73,2/24/18,3766
74,2/25/18,3343
75,2/26/18,5579
76,2/27/18,6261
77,2/28/18,6306
78,3/1/18,7010
79,3/2/18,7875
80,3/3/18,3434
81,3/4/18,3673
82,3/5/18,7047
83,3/6/18,7757
84,3/7/18,8168
85,3/8/18,7784
86,3/9/18,9225
87,3/10/18,4161
88,3/11/18,4091
89,3/12/18,6283
90,3/13/18,9786
91,3/14/18,8071
92,3/15/18,7298
93,3/16/18,6535
94,3/17/18,4010
95,3/18/18,3514